Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
DDLS,3518,100,60.45,100,26.15,45.08,3518,0
SMB,3518,100,22.38,60,17.20,17.32,3518,0
FLIA,3480,100,27.14,100,16.54,20.45,3480,0
PBAP,3464,100,57.04,100,12.04,30.98,3464,0
CAOS,3459,100,96.20,25,87.94,90.34,3459,0
PFEB,3457,100,46.03,100,20.45,43.19,3457,0
PBJN,3396,100,37.97,100,11.99,30.88,3396,0
NVIT,3393,100,64.12,25,46.48,47.37,3393,0
HBMX,3377,1,27.45,10,26.42,26.48,3377,0
OCTT,3377,100,62.81,100,27.18,46.81,3377,0
HYGW,3367,100,30.91,100,26.86,28.96,3167,200
BBIN,3361,100,89.04,100,70.10,79.29,3361,0
CTEF,3358,100,141.70,3,90.59,92.39,3358,0
BMAR,3345,100,106.09,100,22.38,57.77,3345,0
WDAI,3342,100,42.58,100,16.17,27.88,3342,0
SPBU,3323,100,55.57,100,11.73,30.31,3323,0
DDFD,3317,100,36.75,100,7.75,20.00,3317,0
MAMB,3238,100,44.14,100,9.32,24.07,3238,0
EWUS,3235,100,57.53,100,24.86,42.96,3235,0
DRMP,3216,100,34.81,1,26.78,27.92,3216,0
HYIN,3205,1,18.00,100,11.03,14.24,2933,272
TMFM,3203,100,29.40,100,8.77,22.30,3203,0
SCEC,3183,100,33.07,310,21.85,24.91,3183,0
MPWX,3168,400,16.86,1100,15.45,16.52,3168,0
IBMU,3160,100,38.86,310,22.40,25.47,3160,0
NUSC,3148,100,54.92,100,47.42,51.61,3148,0
GOOW,3141,2,69.73,1,68.90,69.23,3141,0
QJUN,3138,100,42.11,100,24.95,33.42,3138,0
IGRO,3137,100,100.79,100,79.35,89.83,3137,0
RSBA,3119,100,38.66,25,19.33,21.10,3119,0
SFTY,3116,100,32.49,100,23.84,30.87,3116,0
JUCY,3113,100,22.13,100,16.96,22.03,3113,0
PBMR,3087,100,59.06,100,12.52,32.06,3087,0
IBMR,3083,160,27.12,320,23.97,25.37,3083,0
