measurement_month,trade_date,symbol,listed_mic,round_lot_size
202603,20260331,IGV,BATS,100
202603,20260331,IMF,BATS,100
202603,20260331,IMFL,BATS,100
202603,20260331,IMTG,BATS,100
202603,20260331,INDA,BATS,100
202603,20260331,INTL,BATS,100
202603,20260331,INTM,BATS,100
202603,20260331,IPAV,BATS,100
202603,20260331,IQDG,BATS,100
202603,20260331,IQM,BATS,100
202603,20260331,IREX,BATS,100
202603,20260331,IREZ,BATS,100
202603,20260331,IROC,BATS,100
202603,20260331,ISBG,BATS,100
202603,20260331,ISMF,BATS,100
202603,20260331,ISPY,BATS,100
202603,20260331,ISSB,BATS,100
202603,20260331,ISVL,BATS,100
202603,20260331,ITA,BATS,100
202603,20260331,ITB,BATS,100
202603,20260331,ITM,BATS,100
202603,20260331,ITOL,BATS,100
202603,20260331,ITWO,BATS,100
202603,20260331,IVVB,BATS,100
202603,20260331,IVVM,BATS,100
202603,20260331,IVVW,BATS,100
202603,20260331,IWMI,BATS,100
202603,20260331,IWMW,BATS,100
202603,20260331,IYJ,BATS,100
202603,20260331,IYLD,BATS,100
202603,20260331,IYRI,BATS,100
202603,20260331,IYT,BATS,100
202603,20260331,IYZ,BATS,100
202603,20260331,IZRL,BATS,100
202603,20260331,JAJL,BATS,100
202603,20260331,JANB,BATS,100
202603,20260331,JANH,BATS,100
202603,20260331,JANI,BATS,100
202603,20260331,JANJ,BATS,100
202603,20260331,JANM,BATS,100
202603,20260331,JANP,BATS,100
202603,20260331,JANT,BATS,100
202603,20260331,JANU,BATS,100
202603,20260331,JANW,BATS,100
202603,20260331,JANZ,BATS,100
202603,20260331,JBBB,BATS,100
202603,20260331,JCPB,BATS,100
202603,20260331,JCPI,BATS,100
202603,20260331,JEMA,BATS,100
202603,20260331,JMST,BATS,100
202603,20260331,JMUB,BATS,100
202603,20260331,JNEU,BATS,100
202603,20260331,JOBX,BATS,100
202603,20260331,JOYT,BATS,100
202603,20260331,JPHY,BATS,100
202603,20260331,JPIB,BATS,100
202603,20260331,JPLD,BATS,100
202603,20260331,JUCY,BATS,100
202603,20260331,JUDO,BATS,100
202603,20260331,JULB,BATS,100
202603,20260331,JULH,BATS,100
202603,20260331,JULJ,BATS,100
202603,20260331,JULM,BATS,100
202603,20260331,JULP,BATS,100
202603,20260331,JULT,BATS,100
202603,20260331,JULU,BATS,100
202603,20260331,JULW,BATS,100
202603,20260331,JULZ,BATS,100
202603,20260331,JUNM,BATS,100
202603,20260331,JUNP,BATS,100
202603,20260331,JUNT,BATS,100
202603,20260331,JUNW,BATS,100
202603,20260331,JUNZ,BATS,100
202603,20260331,JXX,BATS,100
202603,20260331,KAMO,BATS,100
202603,20260331,KAPR,BATS,100
202603,20260331,KAUG,BATS,100
202603,20260331,KCOP,BATS,100
202603,20260331,KDEC,BATS,100
202603,20260331,KFEB,BATS,100
202603,20260331,KGLD,BATS,100
202603,20260331,KHPI,BATS,100
202603,20260331,KJAN,BATS,100
202603,20260331,KJUL,BATS,100
202603,20260331,KJUN,BATS,100
202603,20260331,KMAR,BATS,100
202603,20260331,KMAY,BATS,100
202603,20260331,KNG,BATS,100
202603,20260331,KNOV,BATS,100
202603,20260331,KNOW,BATS,100
202603,20260331,KOCT,BATS,100
202603,20260331,KONG,BATS,100
202603,20260331,KSEP,BATS,100
202603,20260331,KSLV,BATS,100
202603,20260331,KTUP,BATS,100
202603,20260331,KWT,BATS,100
202603,20260331,KYLD,BATS,100
202603,20260331,LABX,BATS,100
202603,20260331,LAPR,BATS,100
202603,20260331,LBO,BATS,100
202603,20260331,LCAP,BATS,100
202603,20260331,LCF,BATS,100
202603,20260331,LCOW,BATS,100
202603,20260331,LDDR,BATS,100
202603,20260331,LEAD,BATS,100
202603,20260331,LENS,BATS,100
202603,20260331,LEUX,BATS,100
202603,20260331,LFAI,BATS,100
202603,20260331,LFAO,BATS,100
202603,20260331,LFAW,BATS,100
202603,20260331,LFBE,BATS,100
202603,20260331,LFDR,BATS,100
202603,20260331,LIAE,BATS,100
202603,20260331,LIAM,BATS,100
202603,20260331,LIAU,BATS,40
202603,20260331,LIBD,BATS,40
202603,20260331,LIFT,BATS,100
202603,20260331,LIMI,BATS,100
202603,20260331,LITX,BATS,100
202603,20260331,LJAN,BATS,100
202603,20260331,LJUL,BATS,100
202603,20260331,LKOR,BATS,100
202603,20260331,LLII,BATS,100
202603,20260331,LNOK,BATS,100
202603,20260331,LOCT,BATS,100
202603,20260331,LQDI,BATS,100
202603,20260331,LQDW,BATS,100
202603,20260331,LRCU,BATS,100
202603,20260331,LUNL,BATS,100
202603,20260331,LVDS,BATS,100
202603,20260331,LVHI,BATS,100
202603,20260331,LYLD,BATS,100
202603,20260331,MAGA,BATS,100
202603,20260331,MAGC,BATS,100
202603,20260331,MAGO,BATS,100
