Symbol,Name,Exchange,Country,Sector,Industry,Market Cap,Last Sale,Volume,Source,instrument_type,instrument_scope,classification_confidence,classification_reason,decision,reason_code,reason_category,business_explanation,severity,recoverable,decision_layer
FGMCR,FG Merger II Corp. - Rights,NASDAQ,USA,,,,,,nasdaqlisted,RIGHT,OUT_OF_SCOPE,HIGH,Security name indicates rights.,EXCLUDED_FROM_UNIVERSE,OUT_OF_SCOPE_RIGHT,INSTRUMENT_SCOPE,Instrument classified as RIGHT; excluded before market-data enrichment because it is not part of the initial common-stock scouting universe.,info,True,UNIVERSE_CLEANING
FGMCU,FG Merger II Corp. - Unit,NASDAQ,USA,,,,,,nasdaqlisted,UNIT,OUT_OF_SCOPE,HIGH,Security name indicates unit.,EXCLUDED_FROM_UNIVERSE,OUT_OF_SCOPE_UNIT,INSTRUMENT_SCOPE,Instrument classified as UNIT; excluded before market-data enrichment because it is not part of the initial common-stock scouting universe.,info,True,UNIVERSE_CLEANING
FGNXP,FG Nexus Inc. - 8.00% Cumulative Series A Preferred Stock,NASDAQ,USA,,,,,,nasdaqlisted,PREFERRED,OUT_OF_SCOPE,HIGH,Security name indicates preferred/depositary preferred instrument.,EXCLUDED_FROM_UNIVERSE,OUT_OF_SCOPE_PREFERRED,INSTRUMENT_SCOPE,Instrument classified as PREFERRED; excluded before market-data enrichment because it is not part of the initial common-stock scouting universe.,info,True,UNIVERSE_CLEANING
FIGX,FIGX Capital Acquisition Corp. - Class A ordinary share,NASDAQ,USA,,,,,,nasdaqlisted,SPAC_OR_BLANK_CHECK,OUT_OF_SCOPE,MEDIUM,Security name suggests SPAC / blank check company.,EXCLUDED_FROM_UNIVERSE,OUT_OF_SCOPE_SPAC_OR_BLANK_CHECK,INSTRUMENT_SCOPE,Instrument classified as SPAC_OR_BLANK_CHECK; excluded before market-data enrichment because it is not part of the initial common-stock scouting universe.,info,True,UNIVERSE_CLEANING
FIGXU,FIGX Capital Acquisition Corp. - Units,NASDAQ,USA,,,,,,nasdaqlisted,UNIT,OUT_OF_SCOPE,HIGH,Security name indicates unit.,EXCLUDED_FROM_UNIVERSE,OUT_OF_SCOPE_UNIT,INSTRUMENT_SCOPE,Instrument classified as UNIT; excluded before market-data enrichment because it is not part of the initial common-stock scouting universe.,info,True,UNIVERSE_CLEANING
FIGXW,FIGX Capital Acquisition Corp. - one-half of one redeemable warrant.,NASDAQ,USA,,,,,,nasdaqlisted,WARRANT,OUT_OF_SCOPE,HIGH,Security name indicates warrant.,EXCLUDED_FROM_UNIVERSE,OUT_OF_SCOPE_WARRANT,INSTRUMENT_SCOPE,Instrument classified as WARRANT; excluded before market-data enrichment because it is not part of the initial common-stock scouting universe.,info,True,UNIVERSE_CLEANING
FITBM,"Fifth Third Bancorp - Depositary Shares Representing a 1/40th Ownership Interest in a Share of 6.875% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series M",NASDAQ,USA,,,,,,nasdaqlisted,PREFERRED,OUT_OF_SCOPE,HIGH,Security name indicates preferred/depositary preferred instrument.,EXCLUDED_FROM_UNIVERSE,OUT_OF_SCOPE_PREFERRED,INSTRUMENT_SCOPE,Instrument classified as PREFERRED; excluded before market-data enrichment because it is not part of the initial common-stock scouting universe.,info,True,UNIVERSE_CLEANING
FITBO,"Fifth Third Bancorp - Depositary Shares each representing a 1/1000th ownership interest in a share of Non-Cumulative Perpetual Preferred Stock, Series K",NASDAQ,USA,,,,,,nasdaqlisted,PREFERRED,OUT_OF_SCOPE,HIGH,Security name indicates preferred/depositary preferred instrument.,EXCLUDED_FROM_UNIVERSE,OUT_OF_SCOPE_PREFERRED,INSTRUMENT_SCOPE,Instrument classified as PREFERRED; excluded before market-data enrichment because it is not part of the initial common-stock scouting universe.,info,True,UNIVERSE_CLEANING
FITBP,"Fifth Third Bancorp - Depositary Shares each representing 1/40th share of Fifth Third 6.00% Non-Cumulative Perpetual Class B Preferred Stock, Series A",NASDAQ,USA,,,,,,nasdaqlisted,PREFERRED,OUT_OF_SCOPE,HIGH,Security name indicates preferred/depositary preferred instrument.,EXCLUDED_FROM_UNIVERSE,OUT_OF_SCOPE_PREFERRED,INSTRUMENT_SCOPE,Instrument classified as PREFERRED; excluded before market-data enrichment because it is not part of the initial common-stock scouting universe.,info,True,UNIVERSE_CLEANING
FLDDW,"Fold Holdings, Inc. - Warrant",NASDAQ,USA,,,,,,nasdaqlisted,WARRANT,OUT_OF_SCOPE,HIGH,Security name indicates warrant.,EXCLUDED_FROM_UNIVERSE,OUT_OF_SCOPE_WARRANT,INSTRUMENT_SCOPE,Instrument classified as WARRANT; excluded before market-data enrichment because it is not part of the initial common-stock scouting universe.,info,True,UNIVERSE_CLEANING
