asset_id,ticker,company_name,exchange,price_rows,date_start,date_end,features_calculated,features_missing,price_feature_quality_status,quality_flags
U00020,ABTC,American Bitcoin Corp. - Class A Common Stock,,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00021,ABTS,Abits Group Inc - Ordinary Shares,,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00022,ABUS,Arbutus Biopharma Corporation - Common Stock,,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00023,ABVC,"ABVC BioPharma, Inc. - Common Stock",,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00025,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00027,ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,,219,2025-10-17,2026-09-01,19,max_drawdown_12m|return_12m,PRICE_FEATURES_PARTIAL,adjusted_prices_unavailable|less_than_252_sessions
U00028,ACDC,ProFrac Holding Corp. - Class A Common Stock,,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00029,ACET,"Adicet Bio, Inc. - Common Stock",,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00030,ACFN,"Acorn Energy, Inc. - Common Stock",,672,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00032,ACGL,Arch Capital Group Ltd. - Common Stock,,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00033,ACHC,"Acadia Healthcare Company, Inc. - Common Stock",,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00035,ACIC,American Coastal Insurance Corporation - Common Stock,,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00037,ACIW,"ACI Worldwide, Inc. - Common Stock",,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00038,ACLS,"Axcelis Technologies, Inc. - Common Stock",,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00039,ACMR,"ACM Research, Inc. - Class A Common Stock",,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00040,ACNB,ACNB Corporation - Common Stock,,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00041,ACNT,Ascent Industries Co. - Common Stock,,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00042,ACOG,Alpha Cognition Inc. - Common Stock,,451,2024-11-12,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00043,ACON,"Aclarion, Inc. - Common Stock",,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00044,ACRS,"Aclaris Therapeutics, Inc. - Common Stock",,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00046,ACT,"Enact Holdings, Inc. - Common Stock",,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00047,ACTG,Acacia Research Corporation - Common Stock,,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00053,ADBE,Adobe Inc. - Common Stock,,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00054,ADEA,Adeia Inc. - Common Stock,,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00056,ADI,"Analog Devices, Inc. - Common Stock",,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00058,ADMA,ADMA Biologics Inc - Common Stock,,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00059,ADP,"Automatic Data Processing, Inc. - Common Stock",,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00060,ADPT,Adaptive Biotechnologies Corporation - Common Stock,,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00062,ADSK,"Autodesk, Inc. - Common Stock",,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00063,ADTN,"ADTRAN Holdings, Inc. - Common Stock",,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
U00065,ADUS,Addus HomeCare Corporation - Common Stock,,669,2024-01-02,2026-09-01,21,,PRICE_FEATURES_READY,adjusted_prices_unavailable
