asset_id,ticker,company_name,exchange,price_rows,date_start,date_end,trading_days_1y,adjusted_prices_available,price_feature_quality_status,features_calculated,features_missing,quality_flags,return_1m,return_3m,return_6m,return_12m,price_vs_sma_50,price_vs_sma_200,sma_50_vs_sma_200,volatility_3m,volatility_6m,max_drawdown_6m,max_drawdown_12m,downside_volatility_6m,avg_volume_1m,avg_volume_3m,momentum_consistency_flag,trend_positive_flag,recent_high_breakout_flag,near_52w_high_flag,recovery_from_drawdown_flag,price_acceleration_flag,liquidity_available_flag,phase
U00099,AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,,217,2025-10-21,2026-09-01,217,false,PRICE_FEATURES_PARTIAL,19,max_drawdown_12m|return_12m,adjusted_prices_unavailable|less_than_252_sessions,-0.035211,0.141667,-0.757951,,-0.184038,-0.739642,-0.680919,1.756097,1.997463,-0.867224,,1.199531,37985.238095,2963480.793651,false,false,false,false,false,false,true,v2.38H
U00104,AIFC,AI Financial Corporation - Common Stock,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.35375,-0.314557,-0.62911,-0.931282,0.05385,-0.515526,-0.540282,0.927399,0.905457,-0.75974,-0.933692,0.501448,984555.428571,1108115.301587,false,false,false,false,false,false,true,v2.38H
U00106,AIFU,AIFU Inc. - Class A Ordinary Share,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.385237,8.195833,10.615789,3.370297,-0.336899,0.892309,1.853725,42.805977,30.270037,-0.778369,-0.827273,1.103491,39297.952381,29088.444444,false,false,false,false,true,false,true,v2.38H
U00107,AIHS,Senmiao Technology Limited - Common Stock,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.158621,0.354839,0.322835,-0.288136,0.146993,0.29194,0.126372,0.979111,0.918825,-0.382857,-0.736434,0.472415,1839680.857143,772611.079365,true,true,false,false,true,true,true,v2.38H
U00108,AIIO,Robo.ai Inc. - Class B Ordinary Shares,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.309764,-0.257246,-0.38253,-0.936728,-0.374122,-0.513989,-0.223474,1.432001,2.885404,-0.815938,-0.98876,1.011205,544121.428571,1660469.047619,false,false,false,false,false,false,true,v2.38H
U00110,AIMD,"Ainos, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.041379,-0.411017,-0.097403,-0.636126,-0.123581,-0.215111,-0.104435,0.73957,1.709855,-0.585443,-0.696471,0.556853,39319.047619,99431.746032,false,false,false,false,false,false,true,v2.38H
U00111,AIOS,AIOS Tech Inc. - Class A Common Shares,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.049959,-0.112188,0.05082,-0.833073,-0.03667,-0.422325,-0.400336,1.324034,2.364488,-0.517157,-0.908159,0.872509,68066.666667,54915.873016,false,false,false,false,false,false,true,v2.38H
U00112,AIOT,"PowerFleet, Inc. - Common Stock",,550,2024-06-24,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.281863,-0.250639,-0.15562,-0.372591,-0.213254,-0.270555,-0.072833,0.891089,0.725533,-0.356009,-0.506195,0.638335,2660883.571429,1891842.142857,false,false,false,false,false,false,true,v2.38H
U00113,AIP,"Arteris, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.311192,-0.453347,0.281829,1.201699,-0.335333,-0.127617,0.312512,0.930013,0.840029,-0.573163,-0.573163,0.578216,726512.047619,846957.984127,false,false,false,false,false,false,true,v2.38H
U00114,AIRE,reAlpha Tech Corp. - Common Stock,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.027027,-0.40625,-0.798675,-0.843702,-0.059115,-0.753369,-0.737873,0.976166,1.074093,-0.850588,-0.964966,0.852332,239792.52381,123848.301587,false,false,false,false,false,false,true,v2.38H
