row_number,matched_terms,isin,symbol,name,country,exchange,mic,currency,source_provider,severity
4187,fund,,,"PGIM Global High Yield Fund, Inc.",USA,NYSE,,,nasdaq_trader_otherlisted,review
4194,certificate,,,"Synthetic Fixed-Income Securities, Inc. on behalf of STRATS (SM) Trust for Dominion Resources, Inc. Securities, Series 2005-6, Floating Rate Structured Repackaged Asset-Backed Trust Securities (STRATS) Certificates",USA,NYSE,,,nasdaq_trader_otherlisted,review
4197,certificate,,,"Synthetic Fixed-Income Securities, Inc. Floating Rate Structured Repackaged Asset-Backed Trust Securities Certificates, Series 2006-3",USA,NYSE,,,nasdaq_trader_otherlisted,review
4200,debenture;debentures,,,Globe Life Inc. 4.25% Junior Subordinated Debentures due 2061,USA,NYSE,,,nasdaq_trader_otherlisted,review
4204,fund,,,Clough Global Opportunities Fund Common Stock,USA,NYSE American,,,nasdaq_trader_otherlisted,review
4206,fund,,,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,USA,NYSE American,,,nasdaq_trader_otherlisted,review
4208,fund,,,Clough Global Dividend and Income Fund Common Shares of beneficial interest,USA,NYSE American,,,nasdaq_trader_otherlisted,review
4222,fund,,,Guggenheim Strategic Opportunities Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4240,fund,,,"Eagle Capital Growth Fund, Inc. Common Stock",USA,NYSE American,,,nasdaq_trader_otherlisted,review
4242,note;notes,,,iPath Series B Carbon Exchange-Traded Notes,USA,NYSE Arca,,,nasdaq_trader_otherlisted,review
4258,fund,,,Guggenheim Active Allocation Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4283,fund,,,John Hancock Diversified Income Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4285,fund,,,Highland Opportunities and Income Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4287,fund,,,Highland Global Allocation Fund Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
