candidate_url,source_raw_file,base_validation_score,matched_hints,proposed_use,priority,risk,allowed_in_next_phase
https://live.euronext.com/de/markets/dublin/equities/list?page=0,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_dublin_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/it/markets/dublin/equities/list?page=0,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_dublin_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/dublin/equities/access/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_dublin_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/en/markets/lisbon/equities/list?page=0,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_lisbon_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/fr/markets/lisbon/equities/list?page=0,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_lisbon_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/nb/markets/lisbon/equities/list?page=0,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_lisbon_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/nl/markets/lisbon/equities/list?page=0,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_lisbon_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/pt/markets/lisbon/equities/list?page=0,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_lisbon_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/de/markets/lisbon/equities/list?page=0,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_lisbon_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/it/markets/lisbon/equities/list?page=0,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_lisbon_equities_list.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/fr/products/equities/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_live_all_equities.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/nb/products/equities/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_live_all_equities.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/nl/products/equities/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_live_all_equities.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/pt/products/equities/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_live_all_equities.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/de/products/equities/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_live_all_equities.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
https://live.euronext.com/it/products/equities/list,outputs\full_universe_source_acquisition\raw\euronext_v2_15c\euronext_live_all_equities.html,35,equities|euronext|live.euronext.com,possible_public_equity_listing_route_next_phase,2,medium,True
