ticker,company_name,exchange,raw_cik,source_provider,sec_classification,coverage_status,instrument_type,instrument_scope,classification_confidence
RCWLY,Rockwool A/S/ADR,OTC,1969729,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
LOTMY,Lottomatica Group S.p.A./ADR,OTC,2041918,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
SHMXY,Shimadzu Corporation/ADR,OTC,1648512,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
MBSHY,"Mitsubishi Gas Chemical Company, Inc./ADR",OTC,2079706,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
ERELY,Eregli Demir ve Celik Fabrikalari TAS/ADR,OTC,1454144,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
SFGYY,Sony Financial Group Inc./ADR,OTC,2084022,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
ARSTY,Ariston Holding N.V./ADR,OTC,2044984,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
SLFPY,STANDARD LIFE PLC,OTC,1370418,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
ESYJY,easyJet plc,OTC,1470419,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
BTDPY,Barratt Developments PLC/ADR,OTC,1516324,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
