url,origin_type,official_scope_allowed,download_or_data_hint,selected_for_fetch,selection_reason,attrs
https://global.krx.co.kr/contents/GLB/02/0202/0202020203/GLB0202020203.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0202/0202020203/GLB0202020203.jsp"", ""data-menu-id"": ""E0202020203""}"
https://global.krx.co.kr/board/GLB0202020301/bbs,html_a_href,True,False,False,,"{""href"": ""/board/GLB0202020301/bbs"", ""data-menu-id"": ""E02020203""}"
https://global.krx.co.kr/board/GLB0202020302/bbs,html_a_href,True,False,False,,"{""href"": ""/board/GLB0202020302/bbs"", ""data-menu-id"": ""E0202020302""}"
https://global.krx.co.kr/contents/GLB/02/0202/0202020303/GLB0202020303T2.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0202/0202020303/GLB0202020303T2.jsp"", ""data-menu-id"": ""E0202020303""}"
https://global.krx.co.kr/contents/GLB/02/0202/0202030100/GLB0202030100.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0202/0202030100/GLB0202030100.jsp"", ""data-menu-id"": ""E020203""}"
https://global.krx.co.kr/contents/GLB/02/0202/0202030201/GLB0202030201.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0202/0202030201/GLB0202030201.jsp"", ""data-menu-id"": ""E02020302""}"
https://global.krx.co.kr/contents/GLB/02/0202/0202030202/GLB0202030202.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0202/0202030202/GLB0202030202.jsp"", ""data-menu-id"": ""E0202030202""}"
https://global.krx.co.kr/contents/GLB/02/0202/0202030203/GLB0202030203.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0202/0202030203/GLB0202030203.jsp"", ""data-menu-id"": ""E0202030203""}"
https://global.krx.co.kr/contents/GLB/02/0202/0202030204/GLB0202030204.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0202/0202030204/GLB0202030204.jsp"", ""data-menu-id"": ""E0202030204""}"
https://global.krx.co.kr/contents/GLB/02/0202/0202030205/GLB0202030205.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0202/0202030205/GLB0202030205.jsp"", ""data-menu-id"": ""E0202030205""}"
https://global.krx.co.kr/contents/GLB/02/0202/0202030206/GLB0202030206.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0202/0202030206/GLB0202030206.jsp"", ""data-menu-id"": ""E0202030206""}"
https://global.krx.co.kr/contents/GLB/02/0203/0203000000/GLB0203000000.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0203/0203000000/GLB0203000000.jsp"", ""data-menu-id"": ""E0203""}"
https://global.krx.co.kr/contents/GLB/02/0203/0203010000/GLB0203010000.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0203/0203010000/GLB0203010000.jsp"", ""data-menu-id"": ""E020302""}"
https://esg.krx.co.kr/en,html_a_href,False,False,False,,"{""href"": ""https://esg.krx.co.kr/en"", ""data-menu-id"": ""E0206"", ""target"": ""_blank""}"
https://global.krx.co.kr/board/GLB0205020100/bbs,html_a_href,True,False,False,,"{""href"": ""/board/GLB0205020100/bbs"", ""data-menu-id"": ""E0205""}"
https://global.krx.co.kr/contents/GLB/02/0205/0205020200/GLB0205020200.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0205/0205020200/GLB0205020200.jsp"", ""data-menu-id"": ""E02050202""}"
https://global.krx.co.kr/contents/GLB/02/0205/0205020202/GLB0205020202.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0205/0205020202/GLB0205020202.jsp"", ""data-menu-id"": ""E0205020202""}"
https://global.krx.co.kr/contents/GLB/02/0205/0205020201/GLB0205020201.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0205/0205020201/GLB0205020201.jsp"", ""data-menu-id"": ""E0205020201""}"
https://global.krx.co.kr/contents/GLB/02/0205/0205020203/GLB0205020203.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0205/0205020203/GLB0205020203.jsp"", ""data-menu-id"": ""E0205020203""}"
