row_number,ticker,exchange,source_provider,changed_field_count,metadata_backfill_status,original_country,proposed_country,country_rule_id,original_mic,proposed_mic,mic_rule_id,original_currency,proposed_currency,currency_rule_id,original_asset_type,proposed_asset_type,asset_type_rule_id,original_instrument_type,proposed_instrument_type,instrument_type_rule_id,original_instrument_scope,proposed_instrument_scope,instrument_scope_rule_id
23962,FGQCz,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23963,FGQDz,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23964,FGQEz,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23965,FGQPl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23966,FGRv,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23967,FHBw,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23968,FHPl,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23969,FHWd,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23970,FHYGl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23971,FHYPl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23972,FIBIn,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23973,FIBf,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23974,FICm,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23975,FIDEl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23976,FIEv,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23977,FIHl,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23978,FIIn,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23979,FIMy,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23980,FINEXt,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23981,FINGl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23982,FINIf,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23983,FINZd,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23984,FINl,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23985,FIPPl,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23986,FIREs,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23987,FIVEBn,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23988,FIVEn,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23989,FIVd,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23990,FIXPn,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
23991,FJ7Ed,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23992,FJPId,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23993,FJPRd,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23994,FJPRl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23995,FJPRz,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23996,FJPSl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23997,FJPSz,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23998,FJPn,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
23999,FKEl,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
24000,FKUDl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
24001,FKUl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
24002,FKUn,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
24003,FLAPy,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
24004,FLATBs,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
24005,FLESl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
24006,FLESz,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
24007,FLEXMs,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
24008,FLEXOy,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
24009,FLEXQs,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
24010,FLKl,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
24011,FLOEm,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
24012,FLPEd,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
24013,FLPEl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
24014,FLQAp,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
24015,FLRAFn,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
24016,FLRGd,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
24017,FLRGl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
24018,FLRGz,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
24019,FLUCl,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
24020,FLUCz,CBOE_EUROPE,cboe_europe_reference_data,2,DRY_RUN_DERIVED,,,,,,,,,,,etf,TAX_CBOEEU_ETF_ASSET_001,ETF,ETF,,,exchange_traded_fund,TAX_CBOEEU_ETF_SCOPE_001
24021,FLUIs,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
24022,FLUOs,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
24023,FLUTn,CBOE_EUROPE,cboe_europe_reference_data,0,NO_DETERMINISTIC_CHANGE,,,,,,,,,,,,,EQTY,EQTY,,,,
