source_phase,provider,source_file,source_sheet,source_excel_row_number,asx_code,ticker,symbol,name,isin,security_group_code,product_description,last_price,business_date,instrument_class,include_decision,exclusion_reason,scope_confidence,context_match,duplicate_asx_code_in_extraction,duplicate_isin_in_extraction,raw_code_column,raw_name_column,raw_isin_column,raw_product_column
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12703,SIV,SIV.AX,SIV.AX,SIV CAPITAL LIMITED,AU000000SIV4,EQY,ORDINARY FULLY PAID,0.15,17/12/2024,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12704,SKN,SKN.AX,SKN.AX,SKIN ELEMENTS LIMITED,AU000000SKN7,EQY,ORDINARY FULLY PAID,0.006,29/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12710,SK1,SK1.AX,SK1.AX,SKINKANDY LIMITED,AU0000469470,EQY,ORDINARY FULLY PAID,2.47,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12711,SKS,SKS.AX,SKS.AX,SKS TECHNOLOGIES GROUP LIMITED,AU0000124901,EQY,ORDINARY FULLY PAID,9.07,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12713,SKY,SKY.AX,SKY.AX,SKY METALS LIMITED,AU0000049637,EQY,ORDINARY FULLY PAID,0.215,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12719,SKT,SKT.AX,SKT.AX,SKY NETWORK TELEVISION LIMITED.,NZSKTE0001S6,EQY,ORDINARY FULLY PAID FOREIGN EXEMPT NZX,2.65,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12721,SKC,SKC.AX,SKC.AX,SKYCITY ENTERTAINMENT GROUP LIMITED,NZSKCE0001S2,EQY,ORDINARY FULLY PAID FOREIGN EXEMPT NZX,0.46,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12723,SKM,SKM.AX,SKM.AX,SKYLARK MINERALS LIMITED,AU0000378226,EQY,ORDINARY FULLY PAID,0.27,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12727,SPZ,SPZ.AX,SPZ.AX,SMART PARKING LIMITED,AU000000SPZ0,EQY,ORDINARY FULLY PAID,0.8,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12729,SIQ,SIQ.AX,SIQ.AX,SMARTGROUP CORPORATION LTD,AU000000SIQ4,EQY,ORDINARY FULLY PAID,12.79,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12731,SOC,SOC.AX,SOC.AX,SOCO CORPORATION LTD,AU0000255747,EQY,ORDINARY FULLY PAID,0.04,29/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12735,ZSB,ZSB.AX,ZSB.AX,SOFTBANK CORPORATION,AU000000ZSB0,,SOFTBANK CORPORATION,,,ordinary_or_equity_like_unclassified,include_candidate,three_character_asx_code_from_official_isin_source,medium,False,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12736,SLA,SLA.AX,SLA.AX,SOLARA MINERALS LTD,AU0000385841,EQY,ORDINARY FULLY PAID,0.087,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12741,SET,SET.AX,SET.AX,SOLARIS AUSTRALIAN EQUITY INCOME PLUS LIMITED,AU0000461840,EQY,ORDINARY FULLY PAID,2.13,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12742,SLM,SLM.AX,SLM.AX,SOLIS MINERALS LIMITED,AU0000189029,EQY,ORDINARY FULLY PAID,0.1,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12750,SLS,SLS.AX,SLS.AX,SOLSTICE MINERALS LIMITED,AU0000214157,EQY,ORDINARY FULLY PAID,2.37,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12761,SVR,SVR.AX,SVR.AX,SOLVAR LIMITED,AU0000258782,EQY,ORDINARY FULLY PAID,1.48,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12763,SMM,SMM.AX,SMM.AX,SOMERSET MINERALS LIMITED,AU0000341232,EQY,ORDINARY FULLY PAID,0.007,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12771,SOM,SOM.AX,SOM.AX,SOMNOMED LIMITED,AU000000SOM1,EQY,ORDINARY FULLY PAID,0.52,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12786,SHL,SHL.AX,SHL.AX,SONIC HEALTHCARE LIMITED,AU000000SHL7,EQY,ORDINARY FULLY PAID,20.81,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12789,S32,S32.AX,S32.AX,SOUTH32 LIMITED,AU000000S320,EQY,ORDINARY FULLY PAID,3.9,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12791,SXE,SXE.AX,SXE.AX,SOUTHERN CROSS ELECTRICAL ENGINEERING LTD,AU000000SXE9,EQY,ORDINARY FULLY PAID,4.86,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
