row_number,classification,matched_terms,reason,isin,ticker,name,exchange,country,mic,currency,source_provider,asset_type,instrument_type,instrument_scope
11038,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CS9z,Amundi MSCI Europe ex Switzerland ESG Broad Transition UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11039,residual_review_required,etf;bond,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSB0Zz,iShares Swiss Domestic Government Bond 7-15 ETF CH,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11040,residual_review_required,etf;bond,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSB3Zz,iShares Swiss Domestic Government Bond 0-3 ETF CH,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11041,residual_review_required,etf;bond,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSB7Zz,iShares Swiss Domestic Government Bond 3-7 ETF CH,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11042,residual_review_required,etf;bond,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSBE7z,iShares EUR Govt Bond 3-7yr UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11043,residual_review_required,etf;bond,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSBG0z,iShares USD Treasury Bond 7-10yr UCITS ETF USD Acc,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11044,residual_review_required,etf;bond,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSBG3m,iShares USD Treasury Bond 1-3yr UCITS ETF USD Acc B,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11045,residual_review_required,etf;bond,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSBG3z,iShares EUR Govt Bond 1-3yr UCITS ETF EUR Acc,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11046,residual_review_required,etf;bond,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSBG7m,iShares USD Treasury Bond 3-7yr UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11047,residual_review_required,etf;bond,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSBG7z,iShares USD Treasury Bond 3-7yr UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11048,residual_review_required,etf;bond,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSBGEm,iShares EUR Govt Bond 1-3yr UCITS ETF EUR Acc,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
