sheet_name,row_number,stock_code_raw_text,name_of_securities,category,subcategory,isin,board_lot,currency,diagnostic_security_class
ListOfSecurities,56,00063,CHI ASIA VALLEY,Equity,Equity Securities (Main Board),BMG2123P1059,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,57,00064,GET NICE,Equity,Equity Securities (Main Board),KYG3926K1296,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,58,00065,GRAND OCEAN AR,Equity,Equity Securities (Main Board),KYG4064U1013,"4,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,59,00066,MTR CORPORATION,Equity,Equity Securities (Main Board),HK0066009694,500,HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,60,00068,MANYCORE TECH,Equity,Equity Securities (Main Board),KYG5860M1024,500,HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,61,00069,SHANGRI-LA ASIA,Equity,Equity Securities (Main Board),BMG8063F1068,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,62,00070,RICH GOLDMAN,Equity,Equity Securities (Main Board),HK0000295763,"10,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,63,00071,MIRAMAR HOTEL,Equity,Equity Securities (Main Board),HK0071000456,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,64,00072,META MEDIA,Equity,Equity Securities (Main Board),KYG618251089,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,65,00073,ASIAN CITRUS,Equity,Equity Securities (Main Board),BMG0620W3009,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,66,00075,Y.T. REALTY,Equity,Equity Securities (Main Board),BMG987731079,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,67,00076,ELATE HOLDINGS,Equity,Equity Securities (Main Board),HK0000900701,"4,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,68,00077,AMS TRANSPORT,Equity,Equity Securities (Main Board),KYG041561088,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,69,00078,REGAL INT'L,Equity,Equity Securities (Main Board),BMG7475M1626,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,70,00079,CENTURY LEGEND,Equity,Equity Securities (Main Board),BMG2021N1609,"4,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,71,00080,CAI CORP,Equity,Investment Companies,KYG211971687,"10,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,72,00081,CH OVS G OCEANS,Equity,Equity Securities (Main Board),HK0000065737,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,73,00082,CRAZY SPORTS,Equity,Equity Securities (Main Board),BMG249551091,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,74,00083,SINO LAND,Equity,Equity Securities (Main Board),HK0083000502,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,75,00084,STELUX HOLDINGS,Equity,Equity Securities (Main Board),BMG8465C1073,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,76,00085,CE HUADA TECH,Equity,Equity Securities (Main Board),BMG2122L1054,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,77,00086,SUN HUNG KAI CO,Equity,Equity Securities (Main Board),HK0086000525,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,78,00087,SWIRE PACIFIC B,Equity,Equity Securities (Main Board),HK0087000532,"2,500",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,79,00088,TAI CHEUNG HOLD,Equity,Equity Securities (Main Board),BMG8659B1054,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,80,00089,TAI SANG LAND,Equity,Equity Securities (Main Board),HK0089000548,"1,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,81,00090,PUXING ENERGY,Equity,Equity Securities (Main Board),KYG730761049,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,82,00092,CHAMPION TECH,Equity,Equity Securities (Main Board),BMG2033C4008,"12,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,83,00093,ZERO FINTECH,Equity,Equity Securities (Main Board),BMG8760C1414,"2,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
ListOfSecurities,84,00094,GREENHEART GP,Equity,Equity Securities (Main Board),BMG4094L1054,"80,000",HKD,EQUITY_CANDIDATE_DIAGNOSTIC_ONLY
