promotion_id,candidate_id,source_id,raw_symbol,raw_name,raw_exchange,raw_series,raw_isin,confidence_bucket,review_required,net_new_bucket,promoted_to_candidate_dataset,expanded_candidate_row_index,promotion_policy,promotion_notes
82bc4fa0f84268be,dba2917946ce0736,nse_securities_available_equity_segment,DIFFNKG,Diffusion Engineers Limited,NSE,EQ,INE184O01015,high,False,potential_net_new_high,True,38758,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
7c8cadc9bd12788e,ccec90323b4b70b0,nse_securities_available_equity_segment,DIGIDRIVE,Digidrive Distributors Limited,NSE,EQ,INE0PSC01024,high,False,potential_net_new_high,True,38759,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
f982a94b085bf0a3,af7a62a5f53f4abe,nse_securities_available_equity_segment,DIGITIDE,Digitide Solutions Limited,NSE,EQ,INE0U4701011,high,False,potential_net_new_high,True,38760,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
17d5e28cadfd34e6,4338f732318ad425,nse_securities_available_equity_segment,DIGJAMLMTD,Digjam Limited,NSE,EQ,INE731U01028,high,False,potential_net_new_high,True,38761,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
9c235b400afbdeec,c64ac11e99289380,nse_securities_available_equity_segment,DISAQ,Disa India Limited,NSE,EQ,INE131C01011,high,False,potential_net_new_high,True,38762,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
caeb8a333a6ed94e,88bac00719f121c2,nse_securities_available_equity_segment,DIVGIITTS,Divgi Torqtransfer Systems Limited,NSE,EQ,INE753U01022,high,False,potential_net_new_high,True,38763,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
476caee9efccf577,53b7edec44e0564a,nse_securities_available_equity_segment,DIVISLAB,Divi's Laboratories Limited,NSE,EQ,INE361B01024,high,False,potential_net_new_high,True,38764,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
41c8b250c139bc8d,dbc9f62b20f916ef,nse_securities_available_equity_segment,DIXON,Dixon Technologies (India) Limited,NSE,EQ,INE935N01020,high,False,potential_net_new_high,True,38765,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
4ca3a7c45e1cfa30,684ae32747afc8c3,nse_securities_available_equity_segment,DJML,DJ Mediaprint & Logistics Limited,NSE,EQ,INE0B1K01014,high,False,potential_net_new_high,True,38766,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
bafeec0056b1931d,07730f53bb08e7f6,nse_securities_available_equity_segment,DLF,DLF Limited,NSE,EQ,INE271C01023,high,False,potential_net_new_high,True,38767,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
