asset_id,ticker,exchange,company_name,cik,sec_entity_name,sic,fiscal_year_end,sec_ticker,sec_exchange,identity_status,review_reason,evidence_source,submissions_available,companyfacts_available,basic_concepts_available,evidence_hash,phase
U04741,NDMO,NYSE,Nuveen Dynamic Municipal Opportunities Fund Common Shares of Beneficial Interest,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,37fccbfa74792a0208852f2022295b7c19564ff0372f2ac655a9247be792a7cb,v2.38D
U04743,NEA,NYSE,Nuveen AMT-Free Quality Municipal Income Fund Common Shares of Beneficial Interest Par Value $.01,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,4f2378062b7e60569e55006a00925d42625ee5b6cb3817fabe40293ad1123f88,v2.38D
U04745,NEE$N,NYSE,"NextEra Energy Capital Holdings Inc. Series N Junior Subordinated Debentures due March 1, 2079",,,,,,,US_SEC_CIK_MISSING,ticker not found in SEC company_tickers_exchange cache,SEC company_tickers_exchange cache,false,false,0,79513e25be742f143d270cfb563e71f71270b99bc3992eea949154e53cc95888,v2.38D
U04746,NEE$U,NYSE,"NextEra Energy, Inc. Series U Junior Subordinated Debentures due June 1, 2085",,,,,,,US_SEC_CIK_MISSING,ticker not found in SEC company_tickers_exchange cache,SEC company_tickers_exchange cache,false,false,0,489b1c990172a90df8048dc218e1ae51605768e81ae5702b0f0dea1cccee321c,v2.38D
U04747,NEE$W,NYSE,"NextEra Energy Capital Holdings Inc. Series Z Junior Subordinated Debentures due April 15, 2086",,,,,,,US_SEC_CIK_MISSING,ticker not found in SEC company_tickers_exchange cache,SEC company_tickers_exchange cache,false,false,0,9f4455576df2637e0430e9706d9d27352d7928d98feb0fc5de1ccb109def5489,v2.38D
U04755,NFJ,NYSE,"Virtus Dividend, Interest & Premium Strategy Fund Common Shares of Beneficial Interest",,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,372b2029b9ffe4ed680f90c2ad88eb5a6b454df5a4cf694b3cedc542ed5b200d,v2.38D
U04762,NHS,NYSE American,Neuberger High Yield Strategies Fund Inc. Common Stock,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,9117a4451072dd8702035534b6b4b89866a397032c6ba0c347d80e7e959769a7,v2.38D
U04765,NIE,NYSE,Virtus Equity & Convertible Income Fund Common Shares of Beneficial Interest,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,0555978cd635a631a0699b919c3f1a0418910e282e0d57f88ff4b67ebf1ae6bd,v2.38D
U04766,NIM,NYSE,Nuveen Select Maturities Municipal Fund Common Stock,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,62d8ed7272e67b781859e7ffd5376ae4b3550e10e56db118b9b30a41bcb1520e,v2.38D
U04771,NKX,NYSE,Nuveen California AMT-Free Quality Municipal Income Fund,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,ca4d015282063a58f986d5d8fdbe063393eb83bdef424927583f667a8bc4463e,v2.38D
U04775,NLY$F,NYSE,Annaly Capital Management Inc 6.95% Series F,,,,,,,US_SEC_CIK_MISSING,ticker not found in SEC company_tickers_exchange cache,SEC company_tickers_exchange cache,false,false,0,681dcc43f2b0690a918a66fe38ecef2e7a66c32ac8f4d48e25a93e1c747ddec2,v2.38D
U04776,NMAI,NYSE,Nuveen Multi-Asset Income Fund Common Shares of Beneficial Interest,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,86d608c9e71b04d5d2901a3595c0387875368dd2edf3bba5f98dfb458f312d35,v2.38D
U04778,NMCO,NYSE,Nuveen Municipal Credit Opportunities Fund Common Shares,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,8cd4970a5c85dca87b54610a3fb46ca3b8e1942e580cf61663348a0aee516db4,v2.38D
U04780,NMI,NYSE,"Nuveen Municipal Income Fund, Inc. Common Stock",,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,cc7fd61cb8f4994f9b65cdc2a9dafd86e6408ed2ec5122237f81887c49fa4487,v2.38D
U04781,NML,NYSE American,Neuberger Energy Infrastructure and Income Fund Inc. Common Stock,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,6c1540e9197909cf0739ed16b8a5e86c99ae3e0c4abeace337bd254fdd159603,v2.38D
U04782,NMS,NYSE,Nuveen Minnesota Quality Municipal Income Fund,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,c3a8fdd4b1818a45ee6f9d402ca96b1df479edbd8f54d31eebc3ffc3f693e047,v2.38D
U04783,NMT,NYSE,Nuveen Massachusetts Quality Municipal Income Fund Common Stock,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,a15fc6af93238778e12a586ad7ef3d46ef0bd7624f23cfc70690cfec3e863bc5,v2.38D
U04784,NMZ,NYSE,"Nuveen Municipal High Income Opportunity Fund Common Stock, $0.01 par value, per share",,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,39d05f1678357693e0933c8add436a59eaf019a1118050901399f571751acef7,v2.38D
U04788,NNY,NYSE,Nuveen New York Municipal Value Fund Common Stock,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,defa4b42bd8e863ed84b994bbbf9eecb9dda3ecc10c07ade61578947fcd14ccd,v2.38D
U04797,NPCT,NYSE,Nuveen Core Plus Impact Fund Common Shares of Beneficial Interest,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,9240d50a68466a880182a27e02a5aea1c69971f4bb36fb3ddcc083fa438e17c1,v2.38D
